abstract,label
"The next generation of high-performance batteries should include alternative chemistries that are inherently safer to operate than nonaqueous lithium-based batteries. Aqueous zinc-based batteries can answer that challenge because monolithic zinc sponge anodes can be cycled in nickel–zinc alkaline cells hundreds to thousands of times without undergoing passivation or macroscale dendrite formation. We demonstrate that the three-dimensional (3D) zinc form-factor elevates the performance of nickel–zinc alkaline cells in three fields of use: (i) >90% theoretical depth of discharge (DODZn) in primary (single-use) cells, (ii) >100 high-rate cycles at 40% DODZn at lithium-ion–commensurate specific energy, and (iii) the tens of thousands of power-demanding duty cycles required for start-stop microhybrid vehicles.",12
"The spatial distribution of charge carriers in lithium ion batteries during current flow is of fundamental interest for a detailed understanding of transport properties and the development of strategies for future improvements of the electrolyte-electrode interface behaviour. In this work we explored the potential of Li-7 1D in situ NMR imaging for the identification of concentration gradients under constant current load in a battery cell. An electrochemical cell based on PTFE body and a stack of glass microfiber discs that are soaked with a technically relevant electrolyte suitable for high-temperature application and squeezed between a Li metal and a nano-Si-graphite composite electrode was assembled to acquire Li-7 1D in situ NMR profiles with an improved NMR pulse sequence as function of time and state of charge, thereby visualizing the course of ion concentration during charge and discharge. Surface localized changes of Li concentration were attributed to processes such as solid electrolyte interphase formation or full lithiation of the composite electrode. The method allows the extraction of lithium ion transport properties.",4
"Sodium-ion batteries represent a promising alternative to lithium-ion systems. However, the rapid growth of sodium-ion battery technology requires a sustainable and scalable synthetic route to high-grade sodium hexafluorophosphate. This work demonstrates a new multi-gram scale synthesis of NaPF6 in which the reaction of ammonium hexafluorophosphate with sodium metal in THF solvent generates the electrolyte salt with the absence of the impurities that are common in commercial material. The high purity of the electrolyte (absence of insoluble NaF) allows for concentrations up to 3 M to be obtained accurately in binary carbonate battery solvent. Electrochemical characterization shows that the degradation dynamics of sodium metal-electrolyte interface are different for more concentrated (>2 M) electrolytes, suggesting that the higher concentration regime (above the conventional 1 M concentration) may be beneficial to battery performance.",4
"Electrolytes play an important role in transporting metal ions (e.g., Li+) in metal ion batteries, while understanding the relationship between the electrolyte properties and behaviors is still challenging. Herein, we detect the existence of weak solvent-solvent interactions in electrolytes by nuclear magnetic resonance (NMR), particularly discovering that such interactions have a significant function of stabilizing the electrolytes, which has never been reported before. As a paradigm, we renovated the understanding of the role of ethylene carbonate (EC) solvent in the lithium-ion battery electrolyte. We find that the EC solvent can stabilize the linear carbonate solvent electrolyte, particularly the diethyl carbonate (DEC) electrolyte, by the weak intermolecular interactions, enhancing the energy difference between the orbitals of the Li+(EC)(x)(DEC)(y) complex, in turn demonstrating strong capability against reduction. Our viewpoint was further demonstrated in other metal ion batteries (e.g., Na+, K+), whose discovery is significant for designing electrolytes and in-depth understanding of the battery performance.",2
"Improving transport properties of electrolytes is important for developing lithium-ion batteries for future energy storage applications. In Newman's concentrated solution theory, electrolytes are characterized by three transport parameters, conductivity, diffusion coefficient, and transference number, in addition to the thermodynamic factor. In this work, these parameters are all determined for an exemplar liquid electrolyte, lithium bis(trifluoromethanesulfonyl)imide mixed in tetraethylene glycol dimethyl ether, using electrochemical methods. The intrinsic coupling between parameters obtained by electrochemical methods results in large error bars in the transference number that obscure the transport behavior of the electrolyte. Here, we use electrophoretic NMR (eNMR) to measure the electric-field-induced ion and solvent velocities to obtain the transference number directly, which enables determination of the thermodynamic factor with greater certainty. Our work indicates that the combination of eNMR and electrochemical methods provides a robust approach for complete characterization of battery electrolytes.",2
"Electrolyte decomposition in Li-ion batteries (LIB) and its entailing gas evolution significantly impacts cell performance. CO2 is one of the most abundantly evolved gases from common LIB electrolytes and could potentially affect Li+ solution transport during LIB operation. To this end, a comparative analysis of the Li+ diffusion coefficient (DLi+) which governs mass transport is required. Herein a methodology is established to saturate common battery electrolytes with a soluble gas without introducing other contaminants, so as to determine DLi+ in saturated and unsaturated samples. As a proof of concept, the values of DLi+ are determined in 1 M LiPF6 and 1 M LiClO4 in ethylene carbonate (EC):dimethyl carbonate (DMC) with and without dissolved CO2, confirmed by gas chromatography?mass spectrometry (GC?MS). The results obtained by pulse field gradient nuclear magnetic resonance (PFG-NMR) diffusion measurements agree for both electrolytes; saturating the electrolyte with CO2 has no measurable effect on DLi+ and therefore does not hinder Li+ mass transport.",2
"Aluminum bis(trifluoromethanesulfonyl)imide (Al(TFSI)(3)) was synthesized by a simple substitution reaction and investigated as the Al3+ source for the electrolyte of a rechargeable Al battery. The electrochemical window was extended to 3.6 V with the electrolyte containing Al(TFSI)(3) in AN, whereas it was similar to 2.5 V with the conventional electrolyte for the Al rechargeable battery. A reversible electrochemical Al deposition/dissolution reaction was observed on a Mo plate electrode with small overpotential less than 0.5 V. NMR and Raman spectra identified the main Al species in the electrolyte as Al(TFSI-)(x)(AN)(6-x)(3-x) (x = 1 similar to 6). (C) 2017 The Electrochemical Society. All rights reserved.",2
"Flame retardant tris(2-chloroethyl phosphate) (TCP) is successfully encapsulated in core-shell poly(urea-formaldehyde) microcapsules by in situ polymerization. The microcapsules are electrochemically stable in lithium-ion (Li-ion) battery electrolytes and thermally stable to ca. 200 degrees C. Thermal triggering of these microcapsules at higher temperatures ruptures the shell wall, releasing the liquid core (flame retardant), and NMR spectroscopy confirms the presence of the flame retardant in the electrolyte solution. Li-ion pouch cell experiments demonstrate that microencapsulation of TCP and its incorporation into the battery electrolyte provide latent fire retardants that improve battery safety while maintaining inherent battery performance and cycling capability.",4
"We evaluate hydrofluoroether (HFE) cosolvents with varying degrees of fluorination in the acetonitrile-based solvate electrolyte to determine the effect of the HFE structure on the electrochemical performance of the Li-S battery. Solvates or sparingly solvating electrolytes are an interesting electrolyte choice for the Li-S battery due to their low polysulfide solubility. The solvate electrolyte with a stoichiometric ratio of LiTFSI salt in acetonitrile, (MeCN)(2)-LiTFSI, exhibits limited polysulfide solubility due to the high concentration of LiTFSI. We demonstrate that the addition of highly fluorinated HFEs to the solvate yields better capacity retention compared to that of less fluorinated HFE cosolvents. Raman and NMR spectroscopy coupled with ab initio molecular dynamics simulations show that HFEs exhibiting a higher degree of fluorination coordinate to Li+ at the expense of MeCN coordination, resulting in higher free MeCN content in solution. However, the polysulfide solubility remains low, and no crossover of polysulfides from the S cathode to the Li anode is observed.",4
"Al-ion batteries employing natural graphite cathodes have been proposed as a valid alternative to Li-ion systems due to their low-cost and sustainability, as well as a stable long-term cycle life. In contrast to commonly used but typically expensive ionic-liquid-based electrolytes, our reported Al-graphite batteries use AlCl3/urea and AlCl3/acetamide deep eutectic solvents (DES, also known as ionic liquid analogues) as low-cost alternative. By carefully selecting amide composition, Al speciation in the DES electrolyte can be modified, as confirmed by Raman, NMR and IR spectroscopy. We correlate the speciation changes to resulting battery performance by systematic electrochemical investigations of Al-graphite batteries employing urea and acetamide eutectics of different compositions. The practical applicability was demonstrated using long-term cycling experiments with >8000 cycles, exhibiting a specific capacity of around 50 mAh/g at a current rate of 2 A/g.",4
"In this protocol, we describe the quantification of electrolytes using nuclear magnetic resonance. We detail the steps involved for battery cycling, sample preparation, instrument operation, and data analysis. The protocol can be used to quantify electrolyte decomposition reactions and the apparent electron transfer numbers of different electrolyte components. The protocol is optimized for lithium-based anode-free batteries but can also be applied to other rechargeable batteries.For complete details on the use and execution of this protocol, please refer to Zhou et al. (2022).1",4
"Fundamental characterization of battery electrolyte is vital for rechargeable batteries. This work reports the chemical stability of sodium hexafluorophosphate (NaPF6)-based non-aqueous electrolytes containing different solvent mixtures (e.g., cyclic and acyclic carbonates) in the presence of water for Na-ion batteries. A degradation study is conducted using NaPF6-based electrolytes, highlighting two electrolyte additives, 2,2,2-trifluoroethoxy-2,2,2-ethoxy phosphazene (FM2) and fluoroethylene carbonate (FEC), on degradation and cell performance of Na-ion batteries. Hydrolysis of NaPF6 in acidic condition is particularly prone to form hydrofluoric acid (HF), and can be observed in electrolytes made with battery grade carbonate solvents (<20 ppm of water). Degradation mechanisms of NaPF6-based electrolytes are studied using liquid nuclear magnetic resonance (NMR). Noticeable degradation takes place in high purity electrolytes with the presence of moisture to form HF and organophosphates in timeframes below the current shelf-life of the Na electrolytes. FEC is not efficient to protect the electrodes from being exposed to HF. On the other hand, FM2 is revealed as a scavenger of HF, which helps stabilize the shelf life of electrolytes that might contain or become exposed to water. Our study underscores the importance to understanding the degradation of electrolyte and improving stability toward better shelf life for sodium ion batteries.",4
"Lithium-sulfur batteries offer the highest theoretical energy density among enclosed rechargeable batteries. However, there are various issues that need to be addressed before their practical adoption, such as the dissolution of intermediate lithium polysulfides (Li2Sn) into the electrolyte solution, which causes rapid degradation of the battery. Herein, we used nuclear magnetic resonance (NMR) and in-situ magnetic resonance imaging (MRI) to visualize the dissolution of the intermediate species formed during the discharge-charge process in Li-S batteries. A strong enhancement in the MRI signal was observed when the cell was first discharged, which is associated with the dissolution of intermediate polysulfides. To determine the origin of this signal enhancement, H-1 NMR spectra, T(1 )relaxation time, and electron spin resonance (ESR) measurements were performed on electrolyte containing polysulfides. The origin of the strong enhancement of the MRI signal by the dissoluted polysulfides is mainly attributed to the paramagnetic interaction due to the formation of S-3*(- )and S-4*(- )radicals in the dissoluted polysulfides. The results demonstrate that H-1 MRI is an indirect and effective way to study and visualize the intermediate species formed during Li-S battery operation.",8
"Air-aged LiFePO4 exhibits an OH-rich surface that reacts with LiPF6 based electrolyte, leading to poor battery performance. We show that outstanding electrochemical performance is achieved when using air-aged LiFePO4 in the presence of electrolyte additive N,N-diethylamino trimethylsilane, capable of reacting with acidic impurities. Stable impedance is obtained upon cycling, and Li-7 and F-19 MAS NMR study indicates that the interphasial chemistry is governed by a surface layer coming from reacted additive. (C) 2013 Elsevier B.V. All rights reserved.",2
"We propose in this work a polyethylene glycol dimethyl ether (MW 500) dissolving lithium trifluoromethansulfonate (LiCF3SO3) salt as suitable electrolyte media for a safe and efficient use of the lithium metal anode in battery. Voltammetry and galvanostatic tests reveal significant enhancement of the electrolyte characteristics, in terms of cycling life and chemical stability, by the addition of lithium nitrate (LiNO3) to the solution. Furthermore, PFG NMR measurements suggest the applicability of the electrolyte in battery in terms of ionic conductivity, lithium transference number, ionic-association degree and self-diffusion coefficient. Accordingly, the electrolyte is employed in a lithium battery using lithium iron phosphate as the selected cathode. The battery delivers a stable capacity of 150 rnAh g(-1) and flat working voltage of 3.5 V, thus leading to a theoretical energy density referred to the cathode of 520 Wh kg(-1). This battery is considered a suitable energy storage system for advanced applications requiring both high safety and high energy density. (C) 2015 Elsevier B.V. All rights reserved.",2
"Lithium-ion batteries are electrochemical storage devices using the electrochemical activity of the lithium ion in relation to intercalation compounds owing to mass transport phenomena through diffusion. Diffusion of the lithium ion in the electrode pores has been poorly understood due to the lack of experimental techniques for measuring its self-diffusion coefficient in porous media. Magic-Angle Spinning, Pulsed Field Gradient, Stimulated-Echo Nuclear Magnetic Resonance (MAS-PFG-STE NMR) was used here for the first time to measure the self-diffusion coefficients of the electrolyte species in the LP30 battery electrolyte (i.e. a 1 M solution of LiPF6 dissolved in 1:1 Ethylene Carbonate - Dimethyl Carbonate) in model composites. These composite electrodes were made of alumina, carbon black and PVdF-HFP. Alumina's magnetic susceptibility is close to the measured magnetic susceptibility of the LP30 electrolyte thereby limiting undesirable internal field gradients. Interestingly, the self-diffusion coefficient of lithium ions decreases with increasing carbon content. FIB-SEM was used to describe the 3D geometry of the samples. The comparison between the reduction of self-diffusion coefficients as measured by PFG-NMR and as geometrically derived from FIB/SEM tortuosity values highlights the contribution of specific interactions at the material/electrolyte interface on the lithium transport properties. (C) 2017 Elsevier B.V. All rights reserved.",2
"Solid lithium ion electrolyte is a critical component for the development of all solid state lithium ion battery. In this study, a solid polymer electrolyte (SPE), PVO is successfully prepared using the monomers of 1-vinylimidazole (1-Vm) and oligo(ethylene oxide) methyl ether methacrylate (OE) to investigate the introduction of small amount of imidazole moiety (8.3 mol%) of high coordination capability and its effect on lithium ion conductivity. LiTFSI and LiClO4 are used to compare the effect from different types of lithium salt, their concentrations are regulated from 5 wt% to 20 wt%. The highest lithium ion conductivities of 1.30 × 10−6 S cm−1 at 25 °C and 2.57 × 10−5 S cm−1 at 70 °C are obtained when the content of LiTFSI is 15 wt%. Generally, when LiClO4 is used, the ionic conductivity of SPE is lower than that when LiTFSI is used. But the lithium transference number with LiClO4 is higher than LiTFSI. Both types of lithium salt show similar and relatively high electrochemical stability up to 4.7 V versus Li+/Li, and good cycling performances in lithium deposition/stripping experiments. Though imidazole group is able to coordinate to Lewis acid as used in organic synthesis, and may seriously bother the transportation of lithium ion, however the study doesn’t show the evidence. The findings may allow the design of more delicate chemical and aggregate structure in the explore of new lithium ion conducting materials.",2
"LiBOB (lithium bis(oxalato)-borate) based electrolytes for high power Li-ion batteries are prepared by dissolving different concentrations of LiBOB into two different types of liquid solvents, gamma-Butyrolactone (gamma-BL) and propylene carbonate (PC). The ionic conductivity, solubility, and viscosity of the as-prepared electrolytes are characterized and compared. Raman spectroscopic and C-13 nuclear magnetic resonance spectroscopy (NMR) are employed to investigate the fundamental solvation interactions of the LiBOB with the two types of solvents. The results indicate that lithium cation tends to coordinate with the carbonyl functional group of gamma-BL. In contrast, it exists mainly through ion-pairing in PC solvent. By fitting the Raman spectra, the solvation numbers for both electrolytes are calculated and compared, which would further help understand the observed difference in ionic conductivity shown by these two electrolytes. (C) 2010 Elsevier B.V. All rights reserved.",2
"The structure and dynamics of polymer network electrolytes for lithium batteries based on polyester diacrylate, lithium perchlorate, and ethylene carbonate were studied. The polyester diacrylate contained diacrylate units, 2-hydroxyethyl acrylate units, and product of dimerization of the initial monomer (to 10% by mass). An (1) H NMR study revealed three phases corresponding to ethylene carbonate in the polymer, ethylene carbonate bound to Li+ ions, and cyclic dimer of 2-hydroxyethyl acrylate.",2
"A successful strategy for improving the safety issues of new-generation lithium-ion batteries is to replace liquid electrolytes with solid or quasi-solid membranes, a procedure that ensures adequate ionic conductions and are mechanical strengths.",2
"Thermal degradation products in lithium-ion batteries result mainly from hydrolysis sensitivity of lithium hexafluorophosphate (LiPF6). As organic carbonate solvents contain traces of protic impurities, the thermal decomposition of electrolytes is enhanced. Therefore, resulting degradation products are studied with nuclear magnetic resonance spectroscopy (NMR) and gas chromatography mass spectrometry (GC MS). The electrolyte contains 1 M LiPF6 in a binary mixture of ethylene carbonate (EC) and diethylene carbonate (DEC) in a ratio of 1:2 (v/v) and is aged at ambient and elevated temperature. The impact of protic impurities, either added as deionized water or incorporated in positive electrode material, upon aging is investigated. Further, the influence of different housing materials on the electrolyte degradation is shown. Difluorophosphoric acid is identified as main decomposition product by NMR-spectroscopy. Traces of other decomposition products are determined by headspace GC MS. Acid-base and coulometric titration are used to determine the total amount of acid and water content upon aging, respectively. The aim of this investigation is to achieve profound understanding about the thermal decomposition of one most common used electrolyte in a battery-like housing material. (C) 2014 Elsevier B.V. All rights reserved.",2
"While lithium metal represents the ultimate high-energy-density battery anode material, its use is limited by dendrite formation and associated safety risks, motivating studies of the solid-electrolyte interphase layer that forms on the lithium, which is key in controlling lithium metal deposition. Dynamic nuclear polarisation enhanced NMR can provide important structural information; however, typical exogenous dynamic nuclear polarisation experiments, in which organic radicals are added to the sample, require cryogenic sample cooling and are not selective for the interface between the metal and the solid-electrolyte interphase. Here we instead exploit the conduction electrons of lithium metal to achieve an order of magnitude hyperpolarisation at room temperature. We enhance the Li-7, H-1 and F-19 NMR spectra of solid-electrolyte interphase species selectively, revealing their chemical nature and spatial distribution. These experiments pave the way for more ambitious room temperature in situ dynamic nuclear polarisation studies of batteries and the selective enhancement of metal-solid interfaces in a wider range of systems. Understanding the solid-electrolyte interphase (SEI) is key to developing safe dendrite-free lithium batteries. Here, by exploiting the electrons in lithium metal to selectively hyperpolarise the NMR signals, the authors reveal the chemistry and spatial distribution of species at the metal-SEI interface.",10
"The electrolyte is a crucial component of lithium-sulfur (Li-S) batteries, as it controls polysulfide dissolution, charge shuttling processes, and solid-electrolyte interphase (SEI) layer formation. Experimentally, the overall performance of Li-S batteries varies with choice of solvent system and Li-salt used in the electrolyte, and a lack of predictive understanding about the effects of individual electrolyte components inhibits the rational design of electrolytes for Li-S batteries. Here we analyze the role of the counteranions of common Li-salts (such as TfO-, FSI-, TFSI-, and TDI-) when dissolved in DOL/DME (1:1 by vol.) for use in Li-S batteries. The evolution of ion-ion and ion-solvent interactions due to various anions was analyzed using O-17 NMR and pulsed-field gradient (PFG) NMR and then correlated with electrochemical performance in Li-S cells. These data reveal that the formation of the passivation layer on the anode and the loss of active materials from the cathode (evidenced by polysulfide dissolution) are related to anion mobility and affinity with lithium polysulfide, respectively. For future electrolyte design, anions with lower mobility and weaker interactions with lithium polysulfides may be superior candidates for increasing the long-term stability of Li-S batteries.",10
"Metal-organic frameworks (MOFs) are excellent platforms to design hybrid electrolytes for Li batteries with liquid-like transport and stability against lithium dendrites. We report on Li+ dynamics in quasi-solid electrolytes consisting in Mg-MOF-74 soaked with LiClO4-propylene carbonate (PC) and LiClO4-ethylene carbonate (EC)/dimethyl carbonate (DMC) solutions by combining studies of ion conductivity, nuclear magnetic resonance (NMR) characterization, and spin relaxometry. We investigate nanoconfinement of liquid inside MOFs to characterize the adsorption/solvation mechanism at the basis of Li+ migration in these materials. NMR supports that the liquid is nanoconfined in framework micropores, strongly interacting with their walls and that the nature of the solvent affects Li+ migration in MOFs. Contrary to the free liquid electrolytes, faster ion dynamics and higher Li+ mobility take place in LiClO4-PC electrolytes when nanoconfined in MOFs demonstrating superionic conductor behavior (conductivity sigma(rt) > 0.1 mS cm(-1), transport number t(Li)+ > 0.7). Such properties, including a more stable Li electrodeposition, make MOF-hybrid electrolytes promising for high-power and safer lithium-ion batteries.",10
"We illustrate a simple and effective electrolyte extraction methodology from commercial 18650 lithium-ion cells. This methodology is based on a liquid-liquid extraction step, which is highlighted for robustness, reproducibility, and reliability. We assess the consumption of electrolyte by tracking compositional changes using liquid-state nuclear magnetic resonance (NMR) spectroscopy, supported by differential thermal analysis (DTA) before and after cell cycling. An analysis method that monitors compositional dynamics is presented and shows the impact of these changes throughout a cell's lifetime. Such methodology can be employed in the understanding of electrolyte degradation mechanisms to enhance the understanding of performance fade in commercial cells. Moreover, it will help build robust mathematical models that are able to predict the drive of cell degradation and ultimate failure.",10
The high flammability and thermal instability of conventional carbonate electrolytes limit the safety and performance of lithium-ion batteries (LIBs) and other electrochemical energy storage devices. Organosilicon solvents have shown promise due to their reduced flammability and greater chemical stability at high temperatures. A series of organosilicon electrolytes with different functional substituents were studied to understand the structural origins of this enhanced stability. The thermal and hydrolytic stability of organosilicon and carbonate solvents with LiPF6 was probed by storage at high temperatures and with added water. Quantitative monitoring of organosilicon and carbonate electrolyte decomposition products over time using NMR spectroscopy revealed mechanisms of degradation and led to the discovery of a key PF5-complex that forms in organosilicon electrolytes to inhibit further salt breakdown. Increased knowledge of specific structural contributions to electrolyte stability informs the development of future electrolyte solvents to enable the safer operation of high-performing lithium-ion batteries. (C) 2017 The Electrochemical Society. All rights reserved.,10
"We have developed and explored the use of a new Automatic Tuning Matching Cycler (ATMC) in situ NMR probe system to track the formation of intermediate phases and investigate electrolyte decomposition during electrochemical cycling of Li- and Na-ion batteries (LIBs and NIBs). The new approach addresses many of the issues arising during in situ NMR, e.g., significantly different shifts of the multi-component samples, changing sample conditions (such as the magnetic susceptibility and conductivity) during cycling, signal broadening due to paramagnetism as well as interferences between the NMR and external cycler circuit that might impair the experiments. We provide practical insight into how to conduct ATMC in situ NMR experiments and discuss applications of the methodology to LiFePO4 (LFP) and Na3V2(PO4)(2)F-3 cathodes as well as Na metal anodes. Automatic frequency sweep Li-7 in situ NMR reveals significant changes of the strongly paramagnetic broadened LFP line shape in agreement with the structural changes due to delithiation. Additionally, P-31 in situ NMR shows a full separation of the electrolyte and cathode NMR signals and is a key feature fora deeper understanding of the processes occurring during charge/discharge on the local atomic scale of NMR. P-31 in situ NMR with on-the-fly re-calibrated, varying carrier frequencies on Na3V2(PO4)(2)F-3 as a cathode in a NIB enabled the detection of different P signals within a huge frequency range of 4000 ppm. The experiments show a significant shift and changes in the number as well as intensities of P-31 signals during desodiation/sodiation of the cathode. The in situ experiments reveal changes of local P environments that in part have not been seen in ex situ NMR investigations. Furthermore, we applied ATMC Na-23 in situ NMR on symmetrical Na-Na cells during galvanostatic plating. An automatic adjustment of the NMR carrier frequency during the in situ experiment ensured on resonance conditions for the Na metal and electrolyte peak, respectively. Thus, interleaved measurements with different optimal NMR set-ups for the metal and electrolyte, respectively, became possible. This allowed the formation of different Na metal species as well as a quantification of electrolyte consumption during the electrochemical experiment to be monitored. The new approach is likely to benefit a further understanding of Na-ion battery chemistries. (C) 2016 Elsevier Inc. All rights reserved.",16
